"","Driver","Driver_Name_Abbreviation","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","Sebastian Vettel","VET",6,11,7,8,6,5,2,5,2,9,6,7,7,3,2,2,4,3,2,4
"2","Lewis Hamilton","HAM",41,25,15,11,9,5,4,3,3,1,0,0,1,0,1,1,1,1,1,1
"3","Kimi Räikkönen","RAI",1,3,8,3,2,1,3,4,4,3,6,8,5,6,9,1,5,3,3,1
"4","Daniel Ricciardo","RIC",3,0,2,13,8,11,8,4,7,1,8,7,7,6,3,4,6,3,5,4
"5","Fernando Alonso","ALO",0,3,6,2,6,6,12,10,9,3,3,0,2,2,1,5,3,6,5,3
"6","Max Verstappen","VER",51,23,13,7,6,4,2,1,2,0,0,0,0,0,1,1,2,4,5,3
"7","Nico Hulkenberg","HUL",0,0,0,0,2,5,6,4,4,4,1,8,7,3,6,2,5,2,3,7
"8","Valtteri Bottas","BOT",7,21,17,6,10,4,3,7,2,3,6,6,2,4,7,2,3,3,8,4
"9","Stoffel Vandoorne","VAN",0,0,0,0,0,0,0,2,2,0,2,3,2,2,5,2,0,1,0,0
"10","Carlos Sainz","SAI",2,5,11,7,17,18,8,14,4,6,5,5,3,1,0,0,2,3,6,8
"11","Sergio Perez","PER",6,12,10,16,9,9,11,6,3,8,4,5,1,2,2,4,3,4,3,5
"12","Esteban Ocon","OCO",1,1,1,3,3,7,10,15,15,7,5,3,4,9,2,2,1,5,6,4
"13","Charles Leclerc","LEC",5,12,13,19,11,10,10,4,3,5,3,1,2,1,3,1,1,6,7,8
"14","Lance Stroll","STR",0,0,2,4,2,5,4,6,12,12,10,11,12,12,3,3,7,5,5,8
"15","Brendon Hartley","HAR",0,0,0,0,0,0,0,0,1,2,2,2,1,3,1,0,3,0,3,3
"16","Romain Grosjean","GRO",0,0,0,1,0,2,2,2,2,3,4,3,5,2,6,9,5,4,2,5
"17","Kevin Magnussen","MAG",0,0,0,0,3,3,2,4,7,7,2,4,11,6,8,8,16,10,7,5
"18","Pierre Gasly","GAS",1,1,2,4,5,12,10,8,10,8,15,7,8,9,3,3,2,6,3,8
"19","Marcus Ericsson","ERI",0,0,0,0,0,0,0,0,3,3,3,1,3,0,3,1,0,2,1,1
"20","Sergey Sirotkin","SIR",0,0,0,0,0,0,0,0,0,1,0,1,3,2,4,4,1,1,2,2
"21","Daniil Kvyat","KVY",0,0,1,1,0,0,4,1,4,6,4,7,0,1,3,0,1,1,4,0
"22","Lando Norris","NOR",0,7,6,6,10,8,14,10,8,8,4,2,3,1,4,1,4,3,1,4
"23","Alexander Albon","ALB",0,0,2,3,6,6,3,5,4,6,6,8,7,7,5,2,3,2,4,2
"24","Antonio Giovinazzi","GIO",0,0,0,0,1,0,0,0,3,5,6,3,7,9,8,8,4,4,1,1
"25","George Russell","RUS",1,2,8,9,9,3,3,4,2,1,3,5,1,9,8,12,9,7,6,2
"26","Robert Kubica","KUB",0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5,5,5,3,1
"27","Nicholas Latifi","LAT",0,0,0,0,0,0,1,0,2,0,4,2,0,4,7,14,7,11,8,1
"28","Jack Aitken","AIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"29","Pietro Fittipaldi","FIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"30","Yuki Tsunoda","TSU",0,0,0,1,0,1,2,3,3,7,4,6,5,5,9,3,3,2,5,7
"31","Mick Schumacher","MSC",0,0,0,0,0,1,0,1,0,0,1,2,5,4,4,8,4,6,5,3
"32","Nikita Mazepin","MAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,5,3,5
"33","Zhou Guanyu","ZHO",0,0,0,0,0,0,0,1,3,2,2,5,7,4,3,8,2,2,3,2
"34","Nyck De Vries","DEV",0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,2,2,0,1
"35","Logan Sargeant","SAR",0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,6,2,3,0,4
"36","Oscar Piastri","PIA",0,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,0,1,2
"37","Liam Lawson","LAW",0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0
