"driver_year","driver","season","total_points"
"ALB_2022","Alexander Albon",2022,0
"ALB_2023","Alexander Albon",2023,2
"ALO_2021","Fernando Alonso",2021,0
"ALO_2022","Fernando Alonso",2022,0
"ALO_2023","Fernando Alonso",2023,8
"BOT_2021","Valtteri Bottas",2021,7
"BOT_2022","Valtteri Bottas",2022,2
"BOT_2023","Valtteri Bottas",2023,0
"DEV_2023","Nyck De Vries",2023,0
"GAS_2021","Pierre Gasly",2021,0
"GAS_2022","Pierre Gasly",2022,0
"GAS_2023","Pierre Gasly",2023,8
"GIO_2021","Antonio Giovinazzi",2021,0
"HAM_2021","Lewis Hamilton",2021,2
"HAM_2022","Lewis Hamilton",2022,7
"HAM_2023","Lewis Hamilton",2023,17
"HUL_2023","Nico Hulkenberg",2023,3
"KUB_2021","Robert Kubica",2021,0
"LAT_2021","Nicholas Latifi",2021,0
"LAT_2022","Nicholas Latifi",2022,0
"LAW_2023","Liam Lawson",2023,0
"LEC_2021","Charles Leclerc",2021,0
"LEC_2022","Charles Leclerc",2022,17
"LEC_2023","Charles Leclerc",2023,21
"MAG_2022","Kevin Magnussen",2022,4
"MAG_2023","Kevin Magnussen",2023,0
"MAZ_2021","Nikita Mazepin",2021,0
"MSC_2021","Mick Schumacher",2021,0
"MSC_2022","Mick Schumacher",2022,0
"NOR_2021","Lando Norris",2021,0
"NOR_2022","Lando Norris",2022,6
"NOR_2023","Lando Norris",2023,21
"OCO_2021","Esteban Ocon",2021,0
"OCO_2022","Esteban Ocon",2022,3
"OCO_2023","Esteban Ocon",2023,2
"PER_2021","Sergio Perez",2021,0
"PER_2022","Sergio Perez",2022,14
"PER_2023","Sergio Perez",2023,25
"PIA_2023","Oscar Piastri",2023,15
"RAI_2021","Kimi Räikkönen",2021,0
"RIC_2021","Daniel Ricciardo",2021,1
"RIC_2022","Daniel Ricciardo",2022,3
"RIC_2023","Daniel Ricciardo",2023,0
"RUS_2021","George Russell",2021,0
"RUS_2022","George Russell",2022,13
"RUS_2023","George Russell",2023,18
"SAI_2021","Carlos Sainz",2021,1
"SAI_2022","Carlos Sainz",2022,18
"SAI_2023","Carlos Sainz",2023,22
"SAR_2023","Logan Sargeant",2023,0
"STR_2021","Lance Stroll",2021,0
"STR_2022","Lance Stroll",2022,0
"STR_2023","Lance Stroll",2023,6
"TSU_2021","Yuki Tsunoda",2021,0
"TSU_2022","Yuki Tsunoda",2022,0
"TSU_2023","Yuki Tsunoda",2023,3
"VER_2021","Max Verstappen",2021,7
"VER_2022","Max Verstappen",2022,21
"VER_2023","Max Verstappen",2023,45
"VET_2021","Sebastian Vettel",2021,0
"VET_2022","Sebastian Vettel",2022,0
"ZHO_2022","Zhou Guanyu",2022,0
"ZHO_2023","Zhou Guanyu",2023,0
